state,code,year,population
Alabama,AL,2014,4841799
Alabama,AL,2015,4852347
Alabama,AL,2016,4863525
Alabama,AL,2017,4874486
Alaska,AK,2014,736283
Alaska,AK,2015,737498
Alaska,AK,2016,741456
Alaska,AK,2017,739700
Arizona,AZ,2014,6730413
Arizona,AZ,2015,6829676
Arizona,AZ,2016,6941072
Arizona,AZ,2017,7044008
Arkansas,AR,2014,2967392
Arkansas,AR,2015,2978048
Arkansas,AR,2016,2989918
Arkansas,AR,2017,3001345
California,CA,2014,38596972
California,CA,2015,38918045
California,CA,2016,39167117
California,CA,2017,39358497
Colorado,CO,2014,5350101
Colorado,CO,2015,5450623
Colorado,CO,2016,5539215
Colorado,CO,2017,5611885
Connecticut,CT,2014,3594524
Connecticut,CT,2015,3587122
Connecticut,CT,2016,3578141
Connecticut,CT,2017,3573297
Delaware,DE,2014,932487
Delaware,DE,2015,941252
Delaware,DE,2016,948921
Delaware,DE,2017,956823
Florida,FL,2014,19845911
Florida,FL,2015,20209042
Florida,FL,2016,20613477
Florida,FL,2017,20963613
Georgia,GA,2014,10067278
Georgia,GA,2015,10178447
Georgia,GA,2016,10301890
Georgia,GA,2017,10410330
Hawaii,HI,2014,1414538
Hawaii,HI,2015,1422052
Hawaii,HI,2016,1427559
Hawaii,HI,2017,1424393
Idaho,ID,2014,1631112
Idaho,ID,2015,1651059
Idaho,ID,2016,1682380
Idaho,ID,2017,1717715
Illinois,IL,2014,12884493
Illinois,IL,2015,12858913
Illinois,IL,2016,12820527
Illinois,IL,2017,12778828
Indiana,IN,2014,6593644
Indiana,IN,2015,6608422
Indiana,IN,2016,6634304
Indiana,IN,2017,6658078
Iowa,IA,2014,3109350
Iowa,IA,2015,3120960
Iowa,IA,2016,3131371
Iowa,IA,2017,3141550
Kansas,KS,2014,2900475
Kansas,KS,2015,2909011
Kansas,KS,2016,2910844
Kansas,KS,2017,2908718
Kentucky,KY,2014,4414349
Kentucky,KY,2015,4425976
Kentucky,KY,2016,4438182
Kentucky,KY,2017,4452268
Louisiana,LA,2014,4644013
Louisiana,LA,2015,4664628
Louisiana,LA,2016,4678135
Louisiana,LA,2017,4670560
Maine,ME,2014,1330513
Maine,ME,2015,1328262
Maine,ME,2016,1331317
Maine,ME,2017,1334612
Maryland,MD,2014,5957283
Maryland,MD,2015,5985562
Maryland,MD,2016,6003323
Maryland,MD,2017,6023868
Massachusetts,MA,2014,6762596
Massachusetts,MA,2015,6794228
Massachusetts,MA,2016,6823608
Massachusetts,MA,2017,6859789
Michigan,MI,2014,9929848
Michigan,MI,2015,9931715
Michigan,MI,2016,9950571
Michigan,MI,2017,9973114
Minnesota,MN,2014,5451079
Minnesota,MN,2015,5482032
Minnesota,MN,2016,5522744
Minnesota,MN,2017,5566230
Mississippi,MS,2014,2990468
Mississippi,MS,2015,2988471
Mississippi,MS,2016,2987938
Mississippi,MS,2017,2988510
Missouri,MO,2014,6056202
Missouri,MO,2015,6071732
Missouri,MO,2016,6087135
Missouri,MO,2017,6106670
Montana,MT,2014,1021869
Montana,MT,2015,1030475
Montana,MT,2016,1040859
Montana,MT,2017,1052482
Nebraska,NE,2014,1879321
Nebraska,NE,2015,1891277
Nebraska,NE,2016,1905616
Nebraska,NE,2017,1915947
Nevada,NV,2014,2817628
Nevada,NV,2015,2866939
Nevada,NV,2016,2917563
Nevada,NV,2017,2969905
New Hampshire,NH,2014,1333341
New Hampshire,NH,2015,1336350
New Hampshire,NH,2016,1342307
New Hampshire,NH,2017,1348787
New Jersey,NJ,2014,8864525
New Jersey,NJ,2015,8867949
New Jersey,NJ,2016,8870827
New Jersey,NJ,2017,8885525
New Mexico,NM,2014,2089568
New Mexico,NM,2015,2089291
New Mexico,NM,2016,2091630
New Mexico,NM,2017,2091784
New York,NY,2014,19651049
New York,NY,2015,19654666
New York,NY,2016,19633428
New York,NY,2017,19589572
North Carolina,NC,2014,9932887
North Carolina,NC,2015,10031646
North Carolina,NC,2016,10154788
North Carolina,NC,2017,10268233
North Dakota,ND,2014,737401
North Dakota,ND,2015,754066
North Dakota,ND,2016,754434
North Dakota,ND,2017,754942
Ohio,OH,2014,11602700
Ohio,OH,2015,11617527
Ohio,OH,2016,11634370
Ohio,OH,2017,11659650
Oklahoma,OK,2014,3878187
Oklahoma,OK,2015,3909500
Oklahoma,OK,2016,3926331
Oklahoma,OK,2017,3931316
Oregon,OR,2014,3963244
Oregon,OR,2015,4015792
Oregon,OR,2016,4089976
Oregon,OR,2017,4143625
Pennsylvania,PA,2014,12788313
Pennsylvania,PA,2015,12784826
Pennsylvania,PA,2016,12782275
Pennsylvania,PA,2017,12787641
Rhode Island,RI,2014,1055936
Rhode Island,RI,2015,1056065
Rhode Island,RI,2016,1056770
Rhode Island,RI,2017,1055673
South Carolina,SC,2014,4823617
South Carolina,SC,2015,4891938
South Carolina,SC,2016,4957968
South Carolina,SC,2017,5021268
South Dakota,SD,2014,849129
South Dakota,SD,2015,853988
South Dakota,SD,2016,862996
South Dakota,SD,2017,872868
Tennessee,TN,2014,6541223
Tennessee,TN,2015,6591170
Tennessee,TN,2016,6646010
Tennessee,TN,2017,6708799
Texas,TX,2014,26964333
Texas,TX,2015,27470056
Texas,TX,2016,27914410
Texas,TX,2017,28295273
Utah,UT,2014,2936879
Utah,UT,2015,2981835
Utah,UT,2016,3041868
Utah,UT,2017,3101042
Vermont,VT,2014,625214
Vermont,VT,2015,625216
Vermont,VT,2016,623657
Vermont,VT,2017,624344
Virginia,VA,2014,8310993
Virginia,VA,2015,8361808
Virginia,VA,2016,8410106
Virginia,VA,2017,8463587
Washington,WA,2014,7054655
Washington,WA,2015,7163657
Washington,WA,2016,7294771
Washington,WA,2017,7423362
West Virginia,WV,2014,1849489
West Virginia,WV,2015,1842050
West Virginia,WV,2016,1831023
West Virginia,WV,2017,1817004
Wisconsin,WI,2014,5751525
Wisconsin,WI,2015,5760940
Wisconsin,WI,2016,5772628
Wisconsin,WI,2017,5790186
Wyoming,WY,2014,582531
Wyoming,WY,2015,585613
Wyoming,WY,2016,584215
Wyoming,WY,2017,578931
