country,capture,aquaculture
Afghanistan,1000,1200
Albania,7886,950
Algeria,95000,1361
American Samoa,3047,20
Andorra,0,0
Angola,486490,655
Antigua and Barbuda,3000,10
Argentina,755226,3673
Armenia,3758,16381
Aruba,142,0
Australia,174629,96847
Austria,350,3483
Azerbaijan,676,640
Bahamas,11625,8
Bahrain,15000,6
Bangladesh,1674770,2203554
Barbados,1735,26
Belarus,686,11199
Belgium,26970,44
Belize,91432,953
Benin,49806,3080
Bermuda,410,0
Bhutan,7,150
Bolivia,7000,3000
Bosnia and Herzegovina,305,4564
Botswana,38,15
Brazil,705000,581230
British Virgin Islands,1200,0
Brunei,13292,948
Bulgaria,8614,15762
Burkina Faso,22070,470
Burundi,21805,1330
Cambodia,629950,172500
Cameroon,233190,2315
Canada,874727,200765
Cape Verde,19900,0
Cayman Islands,125,0
Central African Republic,29000,190
Chad,110000,94
Chile,1829238,1050117
China,17800000,63700000
Colombia,86344,96970
Comoros,16407,0
Costa Rica,14750,22421
Croatia,72312,15805
Cuba,23574,29185
Curaçao,35534,0
Cyprus,1507,6625
Czech Republic,3507,20952
Democratic Republic of the Congo,237372,3161
Denmark,670344,36337
Djibouti,2220,0
Dominica,770,6
Dominican Republic,14640,2285
Ecuador,715495,451090
Egypt,335614,1370660
El Salvador,54084,7956
Equatorial Guinea,8000,15
Eritrea,4300,0
Estonia,75931,868
Eswatini,65,100
Ethiopia,45500,95
Faroe Islands,568435,83300
Federated States of Micronesia,88397,0
Fiji,44663,754
Finland,192065,14412
France,561173,166640
France,90,0
French Polynesia,13754,1343
Gabon,31000,45
Gambia,58261,5
Georgia,30078,670
Germany,271185,41721
Ghana,327457,52480
Gibraltar,1,0
Greece,76362,123410
Greenland,273175,0
Grenada,2550,0
Guam,1391,110
Guatemala,19011,26268
Guinea,128000,250
Guinea-Bissau,6700,0
Guyana,42142,337
Haiti,16510,1220
Honduras,10600,53100
Hong Kong,142775,4258
Hungary,5048,16248
Iceland,1085176,15129
India,5082332,5703002
Indonesia,6584419,16600000
Iran,695407,398129
Iraq,28000,28835
Ireland,259845,40244
Isle of Man,7040,0
Israel,1758,18914
Italy,198130,157109
Ivory Coast,67500,4701
Jamaica,16800,620
Japan,3275263,1067994
Jersey and Guernsey,2985,1499
Jordan,873,885
Kazakhstan,41335,1878
Kenya,171391,15360
Kiribati,172822,3652
Kuwait,5493,196
Kyrgyzstan,89,1931
Laos,70915,109835
Latvia,114806,788
Lebanon,4291,1015
Lesotho,52,1050
Liberia,14700,40
Libya,30002,10
Liechtenstein,0,0
Lithuania,106945,4393
Luxembourg,0,0
Macao,1500,0
Madagascar,142333,25998
Malawi,152852,7646
Malaysia,1584371,407887
Maldives,129191,0
Mali,102486,4194
Malta,2420,6073
Marshall Islands,64795,5
Mauritania,609754,0
Mauritius,18062,1021
Mexico,1524467,221328
Moldova,50,16011
Monaco,1,0
Mongolia,15,0
Montenegro,1595,929
Morocco,1454105,1142
Mozambique,299591,1180
Myanmar,2072390,1017644
Namibia,503878,591
Nauru,530,0
Nepal,21500,49043
Netherlands,370274,62940
New Caledonia,3815,1587
New Zealand,424791,109016
Nicaragua,45500,22530
Niger,34592,300
Nigeria,734731,306727
North Korea,209000,554100
North Macedonia,306,986
Northern Mariana Islands,950,42
Norway,2203360,1326216
Oman,279606,103
Pakistan,513156,156430
Palau,818,23
Palestine,3306,280
Panama,144450,8808
Papua New Guinea,309245,6200
Paraguay,17000,8500
Peru,3811802,100187
Philippines,2027992,2200914
Poland,218115,38300
Portugal,186950,9787
Puerto Rico,1901,20
Qatar,14516,10
Republic of the Congo,86748,177
Romania,12728,12574
Russia,4773413,173840
Rwanda,25013,580
Saint Kitts and Nevis,65734,1
Saint Lucia,2097,32
Saint Vincent and the Grenadines,23077,0
Samoa,8801,10
San Marino,0,0
São Tomé and Príncipe,11750,0
Saudi Arabia,68082,39920
Senegal,474162,2079
Serbia,2067,6878
Seychelles,127128,0
Sierra Leone,202100,75
Singapore,1234,6112
Sint Maarten,253,0
Slovakia,1866,2169
Slovenia,311,1844
Solomon Islands,66445,10582
Somalia,30000,0
South Africa,622070,7994
South Korea,1395951,1859220
South Sudan,35000,20
Spain,915137,283831
Sri Lanka,521637,30974
Sudan,33002,4500
Suriname,47013,102
Sweden,208783,15747
Switzerland,1851,1733
Syria,4500,3500
Tajikistan,1100,450
Tanzania,370966,12547
Thailand,1530583,962571
Timor-Leste,3200,1560
Togo,31891,98
Tonga,1697,3
Trinidad and Tobago,13027,11
Tunisia,115064,16165
Turkey,335326,250331
Turkmenistan,15000,30
Turks and Caicos Islands,2780,0
Tuvalu,7684,3
Uganda,389244,118051
Ukraine,75743,21425
United Arab Emirates,73000,1241
United Kingdom,702405,194492
United States,4931017,444369
Uruguay,51500,70
US Virgin Islands,551,8
Uzbekistan,27267,38055
Vanuatu,44002,16
Venezuela,284175,25998
Vietnam,2785940,3634531
Yemen,154450,0
Zambia,83918,30285
Zimbabwe,15711,10085